order,relativePath,fileName,sizeBytes,isPdfHeader,pdfInfoStatus,pageCount,textSampleChars,extractionClass,sourceAssetId,dbExtractedPages,dbTextBlocks,manualStatus,nextAction
17,downloads/ZENLISH - TÀI LIỆU CHO MỨC NỀN 450 LÊN 800Đ NGHE ĐỌC.pdf,ZENLISH - TÀI LIỆU CHO MỨC NỀN 450 LÊN 800Đ NGHE ĐỌC.pdf,854759,True,ok,12,1589,VALID_TEXT_EXTRACTED,local-asset-ef8fc97c74fa1f8f,12,12,not_started,parse_or_review_drafts
18,downloads/[FIRE TOEIC] GIẢI THÍCH CHI TIẾT SÁCH NEW ECONOMY 2018 - PART 5.pdf,[FIRE TOEIC] GIẢI THÍCH CHI TIẾT SÁCH NEW ECONOMY 2018 - PART 5.pdf,936822,True,ok,62,1962,VALID_TEXT_EXTRACTED,local-asset-6cc20ce3e00fae3a,62,62,not_started,parse_or_review_drafts
19,downloads/folders/ABC TOEIC/200-350_ABC TOEIC LISTENING_1.pdf,200-350_ABC TOEIC LISTENING_1.pdf,103773241,True,ok,281,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-e7e14efa6e98edcc,281,0,not_started,manual_or_ocr_extract
20,downloads/folders/ABC TOEIC/200-350_ABC TOEIC READING_2.pdf,200-350_ABC TOEIC READING_2.pdf,60465549,True,ok,230,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-d76db18086142418,230,0,not_started,manual_or_ocr_extract
21,downloads/folders/EBOOK 10 NGUYÊN TẮC TRONG TỰ HỌC TOEIC - QM/EBOOK 10 NGUYÊN TẮC TRONG TỰ HỌC TOEIC - QM.pdf,EBOOK 10 NGUYÊN TẮC TRONG TỰ HỌC TOEIC - QM.pdf,852921,True,ok,6,3993,VALID_TEXT_EXTRACTED,local-asset-2b47cfd4fa2c0884,6,6,not_started,parse_or_review_drafts
22,downloads/folders/New TOEIC 700/huong-dan-lay-pass-11.pdf,huong-dan-lay-pass-11.pdf,230029,True,ok,2,269,VALID_TEXT_EXTRACTED,local-asset-592918c220eb966b,2,2,not_started,parse_or_review_drafts
23,downloads/folders/Spart Toeic Quyển 2/Lời thoại (transcript) Sách Sparta TOEIC LC+RC.pdf,Lời thoại (transcript) Sách Sparta TOEIC LC+RC.pdf,7142280,True,ok,37,10096,VALID_TEXT_EXTRACTED,local-asset-08318d36dffbbaae,37,37,not_started,parse_or_review_drafts
24,downloads/folders/Spart Toeic Quyển 2/Sách Sparta TOEIC LCRC.pdf,Sách Sparta TOEIC LCRC.pdf,19110770,True,ok,210,765,VALID_TEXT_EXTRACTED,local-asset-5c0af3fd702e6cb0,210,201,not_started,parse_or_review_drafts
25,downloads/folders/Spart Toeic Quyển 2/Đáp án (answer key) Sách Sparta TOEIC LC & RC.pdf,Đáp án (answer key) Sách Sparta TOEIC LC & RC.pdf,547537,True,ok,3,6548,VALID_TEXT_EXTRACTED,local-asset-5872d25e63d123e8,3,3,not_started,parse_or_review_drafts
26,downloads/folders/Sparta Toeic/Lời thoại (transcript) Sách Sparta TOEIC.pdf,Lời thoại (transcript) Sách Sparta TOEIC.pdf,15113288,True,ok,70,11375,VALID_TEXT_EXTRACTED,local-asset-af1f339c8da4ff48,70,70,not_started,parse_or_review_drafts
27,downloads/folders/Sparta Toeic/Sách Sparta TOEIC - Phần nghe.pdf,Sách Sparta TOEIC - Phần nghe.pdf,14708703,True,ok,139,765,VALID_TEXT_EXTRACTED,local-asset-921d59693f57dd8c,139,129,not_started,parse_or_review_drafts
28,downloads/folders/Sparta Toeic/Đáp án (answer key) Sách Sparta TOEIC - Phần nghe.pdf,Đáp án (answer key) Sách Sparta TOEIC - Phần nghe.pdf,492528,True,ok,3,5971,VALID_TEXT_EXTRACTED,local-asset-16019de075e6703e,3,3,not_started,parse_or_review_drafts
29,downloads/folders/Sparta Toeic/Đáp án (answer key) Sách Sparta TOEIC - Phần đọc.pdf,Đáp án (answer key) Sách Sparta TOEIC - Phần đọc.pdf,606337,True,ok,3,7052,VALID_TEXT_EXTRACTED,local-asset-769bf4a71e745329,3,3,not_started,parse_or_review_drafts
30,downloads/folders/TACTICS FOR TOEIC/Tactics for TOEIC - Answer Key.pdf,Tactics for TOEIC - Answer Key.pdf,39150396,True,ok,77,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-eef611895df6d380,77,0,not_started,manual_or_ocr_extract
31,downloads/folders/TACTICS FOR TOEIC/Tactics for TOEIC - Book.pdf,Tactics for TOEIC - Book.pdf,102299609,True,ok,199,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-e7a2202e97dd62c2,199,0,not_started,manual_or_ocr_extract
32,downloads/folders/TACTICS FOR TOEIC/Tactics for TOEIC - Practice Test 1.pdf,Tactics for TOEIC - Practice Test 1.pdf,31196188,True,ok,69,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-91f5b000e7ebada6,0,0,not_started,manual_or_ocr_extract
33,downloads/folders/TACTICS FOR TOEIC/Tactics for TOEIC - Practice Test 2.pdf,Tactics for TOEIC - Practice Test 2.pdf,30715033,True,ok,67,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-f340a863780a852a,0,0,not_started,manual_or_ocr_extract
34,downloads/folders/TOEIC - BÀI LUYỆN TẬP THEO THANG ĐIỂM/FB Trần Thanh Tuyện_Phương pháp luyện từng thang điểm TOEIC.pdf,FB Trần Thanh Tuyện_Phương pháp luyện từng thang điểm TOEIC.pdf,904792,True,ok,3,24,VALID_TEXT_EXTRACTED,local-asset-3fbf881a131f8b7e,3,10,not_started,parse_or_review_drafts
35,"downloads/folders/TOEIC Preparation LC + RC Volume 1, 2/TPLCRC2-ScriptsAK.pdf",TPLCRC2-ScriptsAK.pdf,1084973,True,ok,32,2056,VALID_TEXT_EXTRACTED,local-asset-ff13584d050dca60,32,1340,not_started,parse_or_review_drafts
36,"downloads/folders/TOEIC Preparation LC + RC Volume 1, 2/Toeic Preparation 1.pdf",Toeic Preparation 1.pdf,2627,False,invalid_header,0,0,PLACEHOLDER_OR_INVALID_PDF,,0,0,not_started,blocked_invalid_pdf
37,"downloads/folders/TOEIC Preparation LC + RC Volume 1, 2/Toeic preparation 2.pdf",Toeic preparation 2.pdf,65620959,True,ok,207,96,VALID_TEXT_EXTRACTED,local-asset-caa819f5d50e23b6,207,207,not_started,parse_or_review_drafts
38,downloads/folders/Taking the TOEIC - Skills and Strategies 1/Taking the TOEIC - Skills and Strategies 1.pdf,Taking the TOEIC - Skills and Strategies 1.pdf,195133392,True,ok,279,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-080e4595aa83ec0f,279,0,not_started,manual_or_ocr_extract
39,downloads/folders/Taking the TOEIC - Skills and Strategies 2/Taking the TOEIC - Skills and Strategies 2.pdf,Taking the TOEIC - Skills and Strategies 2.pdf,2650,False,invalid_header,0,0,PLACEHOLDER_OR_INVALID_PDF,local-asset-d60d624803659cf2,313,0,not_started,blocked_invalid_pdf
40,downloads/folders/Thư mục/200-350_ABC TOEIC LISTENING_1.pdf,200-350_ABC TOEIC LISTENING_1.pdf,103773241,True,ok,281,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-e7e14efa6e98edcc,281,0,not_started,manual_or_ocr_extract
41,downloads/folders/Thư mục/200-350_ABC TOEIC READING_2.pdf,200-350_ABC TOEIC READING_2.pdf,60465549,True,ok,230,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-d76db18086142418,230,0,not_started,manual_or_ocr_extract
42,downloads/folders/Thư mục/240 Writing Topics with Sample - LIKE TEST PREP-sample.pdf,240 Writing Topics with Sample - LIKE TEST PREP-sample.pdf,919522,True,ok,100,171,VALID_TEXT_EXTRACTED,local-asset-ec3b4121389481e4,100,494,not_started,parse_or_review_drafts
43,downloads/folders/Thư mục/DevelopingSkills fortheTOEICTest.pdf,DevelopingSkills fortheTOEICTest.pdf,22134294,True,ok,267,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-f4bc31add4f4477f,267,0,not_started,manual_or_ocr_extract
44,downloads/folders/Thư mục/ETS Writing preparation.pdf,ETS Writing preparation.pdf,83015797,True,ok,172,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-e42c99050dff1343,172,0,not_started,manual_or_ocr_extract
45,downloads/folders/Thư mục/Email English by Paul Emmerson.pdf,Email English by Paul Emmerson.pdf,3641884,True,ok,97,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-e9bc1039edaffd30,97,0,not_started,manual_or_ocr_extract
46,downloads/folders/Thư mục/FB Trần Thanh Tuyện_Phương pháp luyện từng thang điểm TOEIC.pdf,FB Trần Thanh Tuyện_Phương pháp luyện từng thang điểm TOEIC.pdf,904792,True,ok,3,24,VALID_TEXT_EXTRACTED,local-asset-3fbf881a131f8b7e,3,10,not_started,parse_or_review_drafts
47,downloads/folders/Thư mục/HỆ THỐNG MẸO TRONG BÀI THI TOEIC.pdf,HỆ THỐNG MẸO TRONG BÀI THI TOEIC.pdf,549581,True,ok,49,4547,VALID_TEXT_EXTRACTED,local-asset-2fad9b3e09cde71e,49,1234,not_started,parse_or_review_drafts
48,downloads/folders/Thư mục/Starter_TOEIC_3rd_Edition.pdf,Starter_TOEIC_3rd_Edition.pdf,16274035,True,ok,306,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-5f0e2167cd1ca73f,306,0,not_started,manual_or_ocr_extract
49,downloads/folders/Thư mục/TOEIC Analyst Book.pdf,TOEIC Analyst Book.pdf,21505428,True,ok,232,1410,VALID_TEXT_EXTRACTED,local-asset-5d33c7ebcefa2261,232,3598,not_started,parse_or_review_drafts
50,downloads/folders/Thư mục/TOEIC+Very+Easy.PDF,TOEIC+Very+Easy.PDF,148737047,True,ok,262,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-5f30e446d1079b69,262,0,not_started,manual_or_ocr_extract
51,downloads/folders/Thư mục/TPLCRC2-ScriptsAK.pdf,TPLCRC2-ScriptsAK.pdf,1084973,True,ok,32,2056,VALID_TEXT_EXTRACTED,local-asset-ff13584d050dca60,32,1340,not_started,parse_or_review_drafts
52,downloads/folders/Thư mục/TRANSCRIPT QUYỂN XANH (T1 - T5).pdf,TRANSCRIPT QUYỂN XANH (T1 - T5).pdf,142783445,True,ok,119,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-74d972a1a8138b3a,119,0,not_started,manual_or_ocr_extract
53,downloads/folders/Thư mục/TRANSCRIPT QUYỂN XANH (T6 - T10).pdf,TRANSCRIPT QUYỂN XANH (T6 - T10).pdf,281080683,True,ok,236,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-d18fd1f96002ed71,236,0,not_started,manual_or_ocr_extract
54,downloads/folders/Thư mục/Tactics for TOEIC - Answer Key.pdf,Tactics for TOEIC - Answer Key.pdf,39150396,True,ok,77,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-eef611895df6d380,77,0,not_started,manual_or_ocr_extract
55,downloads/folders/Thư mục/Tactics for TOEIC - Book.pdf,Tactics for TOEIC - Book.pdf,102299609,True,ok,199,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-e7a2202e97dd62c2,199,0,not_started,manual_or_ocr_extract
56,downloads/folders/Thư mục/Tactics for TOEIC - Practice Test 1.pdf,Tactics for TOEIC - Practice Test 1.pdf,31196188,True,ok,69,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-91f5b000e7ebada6,0,0,not_started,manual_or_ocr_extract
57,downloads/folders/Thư mục/Tactics for TOEIC - Practice Test 2.pdf,Tactics for TOEIC - Practice Test 2.pdf,30715033,True,ok,67,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-f340a863780a852a,0,0,not_started,manual_or_ocr_extract
58,downloads/folders/Thư mục/Taking the TOEIC - Skills and Strategies 2.pdf,Taking the TOEIC - Skills and Strategies 2.pdf,215757636,True,ok,313,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-d60d624803659cf2,313,0,not_started,manual_or_ocr_extract
59,downloads/folders/Thư mục/Target Toeic Students Book.pdf,Target Toeic Students Book.pdf,21430133,True,ok,320,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-c7c8f9b2941a7a6f,320,0,not_started,manual_or_ocr_extract
60,downloads/folders/Thư mục/Toeic preparation 2.pdf,Toeic preparation 2.pdf,65620959,True,ok,207,96,VALID_TEXT_EXTRACTED,local-asset-caa819f5d50e23b6,207,207,not_started,parse_or_review_drafts
61,downloads/folders/Thư mục/ĐỀ NGHE (1).pdf,ĐỀ NGHE (1).pdf,57527096,True,ok,159,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-7f0f2f7ce6082278,159,0,not_started,manual_or_ocr_extract
62,downloads/folders/Thư mục/ĐỀ ĐỌC (1).pdf,ĐỀ ĐỌC (1).pdf,87681781,True,ok,330,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-5853eb57fc6c22c6,330,0,partial,manual_or_ocr_extract
63,downloads/folders/Tài liệu tự học SW/240 Writing Topics with Sample - LIKE TEST PREP-sample.pdf,240 Writing Topics with Sample - LIKE TEST PREP-sample.pdf,919522,True,ok,100,171,VALID_TEXT_EXTRACTED,local-asset-ec3b4121389481e4,100,494,not_started,parse_or_review_drafts
64,downloads/folders/Tài liệu tự học SW/ETS Writing preparation.pdf,ETS Writing preparation.pdf,83015797,True,ok,172,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-e42c99050dff1343,172,0,not_started,manual_or_ocr_extract
65,downloads/folders/Tài liệu tự học SW/Email English by Paul Emmerson.pdf,Email English by Paul Emmerson.pdf,3641884,True,ok,97,0,IMAGE_PDF_OCR_OR_MANUAL_REQUIRED,local-asset-e9bc1039edaffd30,97,0,not_started,manual_or_ocr_extract
66,downloads/folders/[3 đề Toeic + giải chi tiết] Cực sát - Benzen/!!ĐỌC KỸ TRƯỚC KHI HỌC.pdf,!!ĐỌC KỸ TRƯỚC KHI HỌC.pdf,531952,True,ok,2,1030,VALID_TEXT_EXTRACTED,local-asset-f2ca03dd40364656,2,13,not_started,parse_or_review_drafts
67,downloads/folders/[3 đề Toeic + giải chi tiết] Cực sát - Benzen/Giải chi tiết ĐỀ 1.pdf,Giải chi tiết ĐỀ 1.pdf,6314718,True,ok,87,1246,VALID_TEXT_EXTRACTED,local-asset-bce1a4d1e56f51f1,87,1058,not_started,parse_or_review_drafts
68,downloads/folders/[3 đề Toeic + giải chi tiết] Cực sát - Benzen/Giải chi tiết ĐỀ 2.pdf,Giải chi tiết ĐỀ 2.pdf,26902545,True,ok,78,1304,VALID_TEXT_EXTRACTED,local-asset-2013e3c2e55c183e,78,1082,not_started,parse_or_review_drafts
69,downloads/folders/[3 đề Toeic + giải chi tiết] Cực sát - Benzen/Giải chi tiết ĐỀ 3.pdf,Giải chi tiết ĐỀ 3.pdf,7930253,True,ok,81,2020,VALID_TEXT_EXTRACTED,local-asset-734fb799a8f4c465,81,1731,not_started,parse_or_review_drafts
70,downloads/folders/[tài liệu có giải chi tiết] Tự Luyện 550+ trong 10 ngày - Benzen/!!ĐỌC KỸ TRƯỚC KHI HỌC.pdf,!!ĐỌC KỸ TRƯỚC KHI HỌC.pdf,531952,True,ok,2,1030,VALID_TEXT_EXTRACTED,local-asset-f2ca03dd40364656,2,13,not_started,parse_or_review_drafts
71,downloads/folders/[tài liệu có giải chi tiết] Tự Luyện 550+ trong 10 ngày - Benzen/HƯỚNG DẪN LỘ TRÌNH BẮT ĐẦU.pdf,HƯỚNG DẪN LỘ TRÌNH BẮT ĐẦU.pdf,1942726,True,ok,23,2342,VALID_TEXT_EXTRACTED,local-asset-1de714e5ee247744,23,209,not_started,parse_or_review_drafts
72,downloads/folders/[tài liệu có giải chi tiết] Tự Luyện 550+ trong 10 ngày - Benzen/SÁCH GIẢI CHI TIẾT.pdf,SÁCH GIẢI CHI TIẾT.pdf,17453956,True,ok,343,1364,VALID_TEXT_EXTRACTED,local-asset-50f08f6d3fa5e329,343,5095,not_started,parse_or_review_drafts
73,downloads/folders/[tài liệu có giải chi tiết] Tự Luyện 550+ trong 10 ngày - Benzen/sách LISTENING.pdf,sách LISTENING.pdf,35610543,True,ok,213,191,VALID_TEXT_EXTRACTED,local-asset-2b323b0327fce73c,213,8,not_started,parse_or_review_drafts
74,downloads/folders/[tài liệu có giải chi tiết] Tự Luyện 550+ trong 10 ngày - Benzen/sách READING.pdf,sách READING.pdf,20969965,True,ok,158,191,VALID_TEXT_EXTRACTED,local-asset-e8d49765cab494dd,158,8,not_started,parse_or_review_drafts
75,downloads/folders/ĐỀ WRITING SAMPLE/ĐỀ 10.pdf,ĐỀ 10.pdf,1891,False,invalid_header,0,0,PLACEHOLDER_OR_INVALID_PDF,,0,0,not_started,blocked_invalid_pdf
76,downloads/folders/ĐỀ WRITING SAMPLE/ĐỀ 11.pdf,ĐỀ 11.pdf,4121872,True,ok,13,584,VALID_TEXT_EXTRACTED,local-asset-48732497a9266fae,13,40,not_started,parse_or_review_drafts
77,downloads/folders/ĐỀ WRITING SAMPLE/ĐỀ 7.pdf,ĐỀ 7.pdf,1789,False,invalid_header,0,0,PLACEHOLDER_OR_INVALID_PDF,,0,0,not_started,blocked_invalid_pdf
78,downloads/folders/ĐỀ WRITING SAMPLE/ĐỀ 8.pdf,ĐỀ 8.pdf,1789,False,invalid_header,0,0,PLACEHOLDER_OR_INVALID_PDF,,0,0,not_started,blocked_invalid_pdf
79,downloads/folders/ĐỀ WRITING SAMPLE/ĐỀ 9.pdf,ĐỀ 9.pdf,1891,False,invalid_header,0,0,PLACEHOLDER_OR_INVALID_PDF,,0,0,not_started,blocked_invalid_pdf
80,downloads/folders/ĐỀ WRITING SAMPLE/ĐỀ 1.pdf,ĐỀ 1.pdf,1789,False,invalid_header,0,0,PLACEHOLDER_OR_INVALID_PDF,,0,0,not_started,blocked_invalid_pdf
81,downloads/folders/ĐỀ WRITING SAMPLE/ĐỀ 2.pdf,ĐỀ 2.pdf,1789,False,invalid_header,0,0,PLACEHOLDER_OR_INVALID_PDF,,0,0,not_started,blocked_invalid_pdf
82,downloads/folders/ĐỀ WRITING SAMPLE/ĐỀ 3.pdf,ĐỀ 3.pdf,1789,False,invalid_header,0,0,PLACEHOLDER_OR_INVALID_PDF,,0,0,not_started,blocked_invalid_pdf
83,downloads/folders/ĐỀ WRITING SAMPLE/ĐỀ 4.pdf,ĐỀ 4.pdf,1789,False,invalid_header,0,0,PLACEHOLDER_OR_INVALID_PDF,,0,0,not_started,blocked_invalid_pdf
84,downloads/folders/ĐỀ WRITING SAMPLE/ĐỀ 5.pdf,ĐỀ 5.pdf,1789,False,invalid_header,0,0,PLACEHOLDER_OR_INVALID_PDF,,0,0,not_started,blocked_invalid_pdf
85,downloads/folders/ĐỀ WRITING SAMPLE/ĐỀ 6.pdf,ĐỀ 6.pdf,1789,False,invalid_header,0,0,PLACEHOLDER_OR_INVALID_PDF,,0,0,not_started,blocked_invalid_pdf
86,downloads/speaking-writing-sample-tests IIG.pdf,speaking-writing-sample-tests IIG.pdf,522464,True,ok,12,805,VALID_TEXT_EXTRACTED,local-asset-b59715dc6a248dbe,12,114,not_started,parse_or_review_drafts
